ticker,name,sector,exchange,industry
OTC:VLPNY,VLPNY,Non-Energy Minerals,OTC,Steel
OTC:EQUEY,EQUEY,Utilities,OTC,Electric Utilities
OTC:HBRIY,HBRIY,Energy Minerals,OTC,Oil & Gas Production
OTC:TPRKY,TPRKY,Distribution Services,OTC,Wholesale Distributors
OTC:BPIRF,BPIRF,Finance,OTC,Regional Banks
OTC:CWSRF,CWSRF,Finance,OTC,Real Estate Investment Trusts
OTC:CELJF,CELJF,Communications,OTC,Wireless Telecommunications
OTC:SNLAY,SNLAY,Finance,OTC,Real Estate Development
OTC:VLEEF,VLEEF,Producer Manufacturing,OTC,Auto Parts: OEM
OTC:OCLDY,OCLDY,Process Industries,OTC,Industrial Specialties
OTC:HTWSF,HTWSF,Communications,OTC,Specialty Telecommunications
OTC:AMSSY,AMSSY,Electronic Technology,OTC,Semiconductors
OTC:SOHVY,SOHVY,Producer Manufacturing,OTC,Industrial Machinery
OTC:PSTVY,PSTVY,Finance,OTC,Regional Banks
OTC:MAUSY,MAUSY,Finance,OTC,Investment Banks/Brokers
OTC:ABZPY,ABZPY,Utilities,OTC,Alternative Power Generation
OTC:MCOIF,MCOIF,Consumer Services,OTC,Cable/Satellite TV
OTC:BKEAY,BKEAY,Finance,OTC,Major Banks
OTC:PGPKY,PGPKY,Utilities,OTC,Electric Utilities
OTC:SVCBF,SVCBF,Process Industries,OTC,Pulp & Paper
OTC:CAZGF,CAZGF,Electronic Technology,OTC,Electronic Equipment/Instruments
OTC:VOSSY,VOSSY,Producer Manufacturing,OTC,Trucks/Construction/Farm Machinery
OTC:VLVCY,VLVCY,Consumer Durables,OTC,Motor Vehicles
OTC:TOKSF,TOKSF,Non-Energy Minerals,OTC,Steel
OTC:DVDCF,DVDCF,Consumer Non-Durables,OTC,Beverages: Alcoholic
OTC:TEFOF,TEFOF,Communications,OTC,Specialty Telecommunications
OTC:CASBF,CASBF,Health Technology,OTC,Biotechnology
OTC:AIVAF,AIVAF,Finance,OTC,Multi-Line Insurance
OTC:VTKLF,VTKLF,Consumer Durables,OTC,Recreational Products
OTC:TDVXF,TDVXF,Technology Services,OTC,Packaged Software
OTC:AANNF,AANNF,Finance,OTC,Real Estate Investment Trusts
OTC:WLWHY,WLWHY,Retail Trade,OTC,Apparel/Footwear Retail
OTC:OSGCF,OSGCF,Producer Manufacturing,OTC,Industrial Machinery
OTC:SVNLF,SVNLF,Finance,OTC,Major Banks
OTC:SUUIF,SUUIF,Distribution Services,OTC,Wholesale Distributors
OTC:HDALF,HDALF,Consumer Services,OTC,Restaurants
OTC:CTTOF,CTTOF,Transportation,OTC,Air Freight/Couriers
OTC:TMVWY,TMVWY,Technology Services,OTC,Internet Software/Services
OTC:CHRHF,CHRHF,Producer Manufacturing,OTC,Industrial Machinery
OTC:NDCVF,NDCVF,Electronic Technology,OTC,Semiconductors
OTC:BKEAF,BKEAF,Finance,OTC,Major Banks
OTC:EJTTF,EJTTF,Transportation,OTC,Airlines
OTC:ENDTF,ENDTF,Miscellaneous,OTC,Investment Trusts/Mutual Funds
OTC:CIMDF,CIMDF,Finance,OTC,Regional Banks
OTC:FLMNY,FLMNY,Health Technology,OTC,Medical Specialties
OTC:ROHCF,ROHCF,Electronic Technology,OTC,Semiconductors
OTC:ARRPY,ARRPY,Transportation,OTC,Other Transportation
OTC:NIFCY,NIFCY,Process Industries,OTC,Chemicals: Specialty
OTC:HYPMY,HYPMY,Health Technology,OTC,Pharmaceuticals: Major
OTC:KNEVF,KNEVF,Finance,OTC,Financial Conglomerates
OTC:BDVSF,BDVSF,Retail Trade,OTC,Specialty Stores
OTC:PCCWY,PCCWY,Communications,OTC,Major Telecommunications
OTC:JINFF,JINFF,Non-Energy Minerals,OTC,Other Metals/Minerals
OTC:DURYY,DURYY,Producer Manufacturing,OTC,Industrial Machinery
